NOMBRE : Beijing-4
COMENTARIO :  
BESTVALUE : -1
VERTICES : 2820
ARISTAS_REQ : 1434
ARISTAS_NOREQ : 2150
RACIMOS : 115
VEHICULOS : 23
CAPACIDAD : 25000
TIPO_COSTES_ARISTAS : EXPLICITOS
TOTAL COST OF REQUIRED EDGES: 572819
LISTA_ARISTAS_REQ :
( 1, 2) coste 437 demanda 437
( 4, 5) coste 197 demanda 197
( 8, 9) coste 296 demanda 296
( 12, 13) coste 257 demanda 257
( 16, 17) coste 89 demanda 89
( 17, 18) coste 546 demanda 546
( 29, 30) coste 791 demanda 791
( 33, 34) coste 441 demanda 441
( 35, 1) coste 118 demanda 118
( 36, 37) coste 60 demanda 60
( 38, 39) coste 181 demanda 181
( 45, 46) coste 471 demanda 471
( 52, 53) coste 158 demanda 158
( 54, 55) coste 684 demanda 684
( 30, 29) coste 790 demanda 790
( 57, 58) coste 185 demanda 185
( 64, 65) coste 981 demanda 981
( 70, 71) coste 364 demanda 364
( 71, 52) coste 433 demanda 433
( 72, 73) coste 62 demanda 62
( 75, 76) coste 164 demanda 164
( 77, 78) coste 344 demanda 344
( 81, 82) coste 167 demanda 167
( 87, 85) coste 192 demanda 192
( 88, 89) coste 334 demanda 334
( 89, 87) coste 521 demanda 521
( 97, 98) coste 491 demanda 491
( 101, 102) coste 84 demanda 84
( 103, 104) coste 213 demanda 213
( 105, 106) coste 170 demanda 170
( 113, 101) coste 94 demanda 94
( 115, 116) coste 224 demanda 224
( 128, 129) coste 134 demanda 134
( 135, 136) coste 359 demanda 359
( 137, 138) coste 462 demanda 462
( 146, 147) coste 183 demanda 183
( 151, 152) coste 603 demanda 603
( 145, 153) coste 59 demanda 59
( 154, 155) coste 479 demanda 479
( 149, 156) coste 271 demanda 271
( 9, 159) coste 1111 demanda 1111
( 165, 166) coste 78 demanda 78
( 167, 168) coste 950 demanda 950
( 174, 175) coste 796 demanda 796
( 176, 177) coste 859 demanda 859
( 179, 180) coste 218 demanda 218
( 181, 182) coste 143 demanda 143
( 185, 172) coste 298 demanda 298
( 191, 192) coste 309 demanda 309
( 193, 194) coste 247 demanda 247
( 195, 196) coste 197 demanda 197
( 197, 198) coste 52 demanda 52
( 204, 174) coste 781 demanda 781
( 205, 206) coste 865 demanda 865
( 207, 208) coste 519 demanda 519
( 215, 216) coste 96 demanda 96
( 219, 220) coste 804 demanda 804
( 220, 221) coste 338 demanda 338
( 226, 227) coste 525 demanda 525
( 231, 229) coste 424 demanda 424
( 234, 235) coste 136 demanda 136
( 237, 238) coste 880 demanda 880
( 239, 240) coste 518 demanda 518
( 245, 246) coste 88 demanda 88
( 250, 251) coste 269 demanda 269
( 252, 253) coste 56 demanda 56
( 253, 257) coste 316 demanda 316
( 264, 265) coste 520 demanda 520
( 266, 267) coste 189 demanda 189
( 265, 268) coste 1045 demanda 1045
( 270, 271) coste 204 demanda 204
( 277, 278) coste 464 demanda 464
( 279, 280) coste 461 demanda 461
( 283, 284) coste 533 demanda 533
( 69, 290) coste 174 demanda 174
( 242, 294) coste 139 demanda 139
( 250, 297) coste 199 demanda 199
( 250, 300) coste 215 demanda 215
( 303, 304) coste 57 demanda 57
( 305, 209) coste 542 demanda 542
( 306, 197) coste 802 demanda 802
( 307, 308) coste 183 demanda 183
( 309, 310) coste 180 demanda 180
( 311, 312) coste 169 demanda 169
( 315, 316) coste 765 demanda 765
( 316, 317) coste 53 demanda 53
( 318, 319) coste 326 demanda 326
( 285, 320) coste 693 demanda 693
( 324, 325) coste 796 demanda 796
( 325, 326) coste 358 demanda 358
( 332, 299) coste 52 demanda 52
( 333, 334) coste 498 demanda 498
( 335, 336) coste 374 demanda 374
( 324, 342) coste 251 demanda 251
( 356, 357) coste 273 demanda 273
( 357, 318) coste 720 demanda 720
( 362, 363) coste 170 demanda 170
( 364, 358) coste 170 demanda 170
( 190, 365) coste 97 demanda 97
( 371, 372) coste 187 demanda 187
( 372, 373) coste 223 demanda 223
( 374, 375) coste 801 demanda 801
( 382, 383) coste 354 demanda 354
( 387, 388) coste 321 demanda 321
( 389, 390) coste 374 demanda 374
( 397, 398) coste 459 demanda 459
( 401, 402) coste 306 demanda 306
( 403, 336) coste 176 demanda 176
( 405, 406) coste 72 demanda 72
( 407, 408) coste 70 demanda 70
( 413, 414) coste 415 demanda 415
( 414, 415) coste 1489 demanda 1489
( 415, 416) coste 394 demanda 394
( 417, 418) coste 379 demanda 379
( 419, 209) coste 169 demanda 169
( 420, 421) coste 763 demanda 763
( 422, 245) coste 111 demanda 111
( 423, 424) coste 321 demanda 321
( 424, 425) coste 67 demanda 67
( 430, 431) coste 505 demanda 505
( 266, 434) coste 775 demanda 775
( 435, 436) coste 92 demanda 92
( 438, 439) coste 342 demanda 342
( 439, 440) coste 89 demanda 89
( 443, 444) coste 155 demanda 155
( 450, 451) coste 149 demanda 149
( 453, 454) coste 75 demanda 75
( 454, 455) coste 430 demanda 430
( 460, 461) coste 113 demanda 113
( 466, 467) coste 639 demanda 639
( 471, 472) coste 289 demanda 289
( 476, 475) coste 55 demanda 55
( 418, 477) coste 165 demanda 165
( 478, 479) coste 2806 demanda 2806
( 463, 480) coste 414 demanda 414
( 483, 484) coste 350 demanda 350
( 484, 485) coste 348 demanda 348
( 485, 486) coste 261 demanda 261
( 490, 463) coste 240 demanda 240
( 493, 483) coste 448 demanda 448
( 500, 501) coste 725 demanda 725
( 203, 503) coste 653 demanda 653
( 512, 513) coste 102 demanda 102
( 514, 515) coste 894 demanda 894
( 518, 519) coste 611 demanda 611
( 522, 523) coste 311 demanda 311
( 524, 157) coste 81 demanda 81
( 525, 526) coste 117 demanda 117
( 529, 530) coste 576 demanda 576
( 530, 531) coste 185 demanda 185
( 531, 291) coste 427 demanda 427
( 529, 532) coste 429 demanda 429
( 534, 535) coste 506 demanda 506
( 536, 537) coste 439 demanda 439
( 539, 540) coste 642 demanda 642
( 543, 544) coste 688 demanda 688
( 545, 546) coste 365 demanda 365
( 547, 548) coste 324 demanda 324
( 162, 549) coste 212 demanda 212
( 553, 554) coste 486 demanda 486
( 555, 556) coste 60 demanda 60
( 557, 231) coste 316 demanda 316
( 559, 560) coste 416 demanda 416
( 561, 562) coste 435 demanda 435
( 563, 564) coste 86 demanda 86
( 567, 212) coste 668 demanda 668
( 569, 570) coste 398 demanda 398
( 571, 572) coste 386 demanda 386
( 575, 576) coste 109 demanda 109
( 564, 577) coste 329 demanda 329
( 578, 579) coste 775 demanda 775
( 581, 582) coste 415 demanda 415
( 583, 584) coste 403 demanda 403
( 586, 587) coste 501 demanda 501
( 590, 591) coste 1083 demanda 1083
( 594, 595) coste 175 demanda 175
( 410, 596) coste 824 demanda 824
( 597, 598) coste 87 demanda 87
( 599, 594) coste 274 demanda 274
( 594, 600) coste 217 demanda 217
( 602, 603) coste 74 demanda 74
( 213, 607) coste 522 demanda 522
( 608, 609) coste 278 demanda 278
( 610, 611) coste 348 demanda 348
( 615, 616) coste 295 demanda 295
( 610, 617) coste 93 demanda 93
( 627, 628) coste 172 demanda 172
( 621, 620) coste 66 demanda 66
( 142, 633) coste 433 demanda 433
( 636, 637) coste 422 demanda 422
( 638, 639) coste 409 demanda 409
( 644, 645) coste 100 demanda 100
( 646, 647) coste 1440 demanda 1440
( 645, 644) coste 107 demanda 107
( 644, 651) coste 542 demanda 542
( 651, 652) coste 900 demanda 900
( 446, 653) coste 241 demanda 241
( 653, 654) coste 190 demanda 190
( 659, 660) coste 513 demanda 513
( 662, 663) coste 136 demanda 136
( 663, 664) coste 251 demanda 251
( 670, 671) coste 745 demanda 745
( 29, 12) coste 428 demanda 428
( 679, 680) coste 594 demanda 594
( 509, 682) coste 535 demanda 535
( 683, 684) coste 287 demanda 287
( 628, 689) coste 279 demanda 279
( 691, 692) coste 261 demanda 261
